geometry,borough,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt
POINT (-73.9390384 40.820167),MN,2012,9,232.0,2000.0,9.0,10030.0,32.0,800.0,155 WEST 143 STREET,R7-2,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"3,747",0,,,,,7.0,0,,0,0,37.5,99.92,0,0.0,0.0,False,5.0,39627.0,39627.0,0.0,0,0,,,0.0,3.44,1,1020120009,232.0,1001123.0,238092.0,40.820167,-73.9390384,6a,,,,1,t,,1023200.0,10232002000.0,,,
POINT (-73.9389229 40.8201176),MN,2012,11,232.0,2000.0,9.0,10030.0,32.0,800.0,151 WEST 143 STREET,R7-2,,,,,C1,2.0,0.0,P,NYC HOUSING AUTHORITY,"3,747","13,580","13,580",0,0,0,2.0,1,5.0,15,15,37.5,99.92,37.5,87.92,3.0,False,5.0,84150.0,672300.0,1920.0,"1,989",0,,,3.62,3.44,1,1020120011,232.0,1001155.0,238074.0,40.8201176,-73.9389229,6a,,,,1,t,,1023200.0,10232002000.0,1920-01-01,1989-01-01,
POINT (-73.937851 40.8188928),MN,2011,31,232.0,2001.0,9.0,10037.0,32.0,800.0,645 LENOX AVENUE,R7-2,,,,,C7,4.0,0.0,O,NYC HOUSING AUTHORITY,"3,992","15,898","14,398",0,0,0,2.0,1,6.0,15,17,39.92,100,39.92,87.0,3.0,False,5.0,90000.0,622350.0,1920.0,"1,992",0,,,3.98,3.44,1,1020110031,232.0,1001452.0,237628.0,40.8188928,-73.937851,6a,,,,1,t,,1023200.0,10232002001.0,1920-01-01,1992-01-01,
POINT (-73.9377786 40.8189861),MN,2011,33,232.0,2001.0,9.0,10037.0,32.0,800.0,649 LENOX AVENUE,R7-2,,,,,C7,4.0,0.0,O,NYC HOUSING AUTHORITY,"4,000","15,946","14,446",0,0,0,2.0,1,6.0,15,17,40,100,40,87.0,3.0,False,5.0,90000.0,649800.0,1920.0,"1,992",0,,,3.99,3.44,1,1020110033,232.0,1001472.0,237662.0,40.8189861,-73.9377786,6a,,,,1,t,,1023200.0,10232002001.0,1920-01-01,1992-01-01,
POINT (-73.9386845 40.8200186),MN,2012,14,232.0,2000.0,9.0,10030.0,32.0,800.0,145 WEST 143 STREET,R7-2,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"3,747","14,652","14,652",0,0,0,2.0,1,6.0,19,19,37.5,99.92,37.5,86.92,3.0,False,5.0,84150.0,561600.0,1910.0,"1,989",0,,,3.91,3.44,1,1020120014,232.0,1001221.0,238038.0,40.8200186,-73.9386845,6a,,,,1,t,,1023200.0,10232002000.0,1910-01-01,1989-01-01,
POINT (-73.9379261 40.8196998),MN,2012,23,232.0,2000.0,9.0,10030.0,32.0,800.0,111 WEST 143 STREET,R7-2,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"4,163",0,,,,,7.0,0,,0,0,41.67,99.92,0,0.0,0.0,False,5.0,340200.0,340200.0,0.0,0,0,,,0.0,3.44,1,1020120023,232.0,1001431.0,237922.0,40.8196998,-73.9379261,6a,,,,1,t,,1023200.0,10232002000.0,,,
POINT (-73.9374456 40.8196502),MN,2012,25,232.0,2000.0,9.0,10037.0,32.0,800.0,107 WEST 143 STREET,R7-2,,,,,P5,8.0,0.0,O,NYC HOUSING AUTHORITY,"24,309","45,754",0,0,0,"45,754",2.0,2,2.0,0,1,159.83,100,159.8,100.0,0.0,True,5.0,684000.0,5824350.0,1993.0,0,0,,,1.88,3.44,1,1020120025,232.0,1001564.0,237904.0,40.8196502,-73.9374456,6a,,1020120025.0,12/31/1991,1,t,,1023200.0,10232002000.0,1993-01-01,,
POINT (-73.9382287 40.8206469),MN,2013,14,232.0,1001.0,9.0,10030.0,32.0,800.0,133 WEST 144 STREET,R7-2,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"5,297","18,230","18,230",0,0,0,2.0,1,5.0,20,20,53.08,99.92,53.08,87.92,3.0,False,5.0,119250.0,682200.0,1920.0,"1,989","1,991",,,3.44,3.44,1,1020130014,232.0,1001347.0,238267.0,40.8206469,-73.9382287,6a,,,,1,t,,1023200.0,10232001001.0,1920-01-01,1989-01-01,1991-01-01
POINT (-73.9279147 40.8162988),BX,2341,58,51.0,1003.0,8.0,10451.0,40.0,3800.0,390 GRAND CONCOURSE,C4-4,,,,,C7,4.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"5,005","20,000","18,600",0,0,0,2.0,1,5.0,25,28,50,100.1,50,80.0,0.0,False,3.0,58500.0,737100.0,1905.0,"1,998",0,,,4.0,3.44,2,2023410058,51.0,1004203.0,236685.0,40.8162988,-73.9279147,6a,,,,1,t,,2005100.0,20051001002.0,1905-01-01,1998-01-01,
POINT (-73.9380626 40.8205755),MN,2013,16,232.0,1001.0,9.0,10030.0,32.0,800.0,129 WEST 144 STREET,R7-2,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"5,297","18,230","18,230",0,0,0,2.0,1,5.0,20,20,53.08,99.92,53.08,87.92,3.0,False,5.0,119250.0,740700.0,1928.0,"1,989",0,,,3.44,3.44,1,1020130016,232.0,1001393.0,238241.0,40.8205755,-73.9380626,6a,,,,1,t,,1023200.0,10232001001.0,1928-01-01,1989-01-01,
