development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
AMSTERDAM,22,1,2,MANHATTAN,50,AMSTERDAM AVENUE,50 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1081771,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772158,-73.986706,POINT (-73.986706 40.772158)
AMSTERDAM,22,2,3,MANHATTAN,60,AMSTERDAM AVENUE,60 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1082575,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772606,-73.98646,POINT (-73.98646 40.772606)
AMSTERDAM,22,2,4,MANHATTAN,70,AMSTERDAM AVENUE,70 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1082575,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772793,-73.986276,POINT (-73.986276 40.772793)
AMSTERDAM,22,3,5,MANHATTAN,80,AMSTERDAM AVENUE,80 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1082576,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773234,-73.986003,POINT (-73.986003 40.773234)
AMSTERDAM,22,3,6,MANHATTAN,90,AMSTERDAM AVENUE,90 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1082576,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773415,-73.985819,POINT (-73.985819 40.773415)
AMSTERDAM,22,4,7,MANHATTAN,216,WEST 62ND STREET,216 WEST 62ND STREET,NEW YORK,NY,"10,023",1082577,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772759,-73.987133,POINT (-73.987133 40.772759)
AMSTERDAM,22,5,8,MANHATTAN,217,WEST 62ND STREET,217 WEST 62ND STREET,NEW YORK,NY,"10,023",1082578,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.772974,-73.986974,POINT (-73.986974 40.772974)
AMSTERDAM,22,5,9,MANHATTAN,216,WEST 63RD STREET,216 WEST 63RD STREET,NEW YORK,NY,"10,023",1082578,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773247,-73.986771,POINT (-73.986771 40.773247)
AMSTERDAM,22,6,10,MANHATTAN,217,WEST 63RD STREET,217 WEST 63RD STREET,NEW YORK,NY,"10,023",1082579,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773393,-73.986664,POINT (-73.986664 40.773393)
AMSTERDAM,22,6,11,MANHATTAN,210,WEST 64TH STREET,210 WEST 64TH STREET,NEW YORK,NY,"10,023",1082579,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773632,-73.986412,POINT (-73.986412 40.773632)
AMSTERDAM,22,6,12,MANHATTAN,216,WEST 64TH STREET,216 WEST 64TH STREET,NEW YORK,NY,"10,023",1082579,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.773868,-73.986368,POINT (-73.986368 40.773868)
