development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
CLINTON,123,1,1,MANHATTAN,1505,PARK AVENUE,1505 PARK AVENUE,NEW YORK,NY,"10,029",1078929,1637,1,1016370001,172,MN1101,East Harlem (South),11,8,68,29,13,,40.794976,-73.945918,POINT (-73.945918 40.794976)
CLINTON,123,2,2,MANHATTAN,1760,LEXINGTON AVENUE,1760 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1078930,1637,1,1016370001,172,MN1101,East Harlem (South),11,8,68,29,13,,40.794534,-73.944864,POINT (-73.944864 40.794534)
CLINTON,123,3,3,MANHATTAN,1738,LEXINGTON AVENUE,1738 LEXINGTON AVENUE,NEW YORK,NY,"10,029",1078925,1636,1,1016360001,172,MN1101,East Harlem (South),11,8,68,29,13,,40.793963,-73.945285,POINT (-73.945285 40.793963)
CLINTON,123,4,4,MANHATTAN,1485,PARK AVENUE,1485 PARK AVENUE,NEW YORK,NY,"10,029",1078924,1636,1,1016360001,172,MN1101,East Harlem (South),11,8,68,29,13,,40.79441,-73.94634,POINT (-73.94634 40.79441)
CLINTON,123,5,5,MANHATTAN,1405,PARK AVENUE,1405 PARK AVENUE,NEW YORK,NY,"10,029",1051954,1632,1,1016320001,166,MN1101,East Harlem (South),11,8,68,29,13,,40.791771,-73.948266,POINT (-73.948266 40.791771)
CLINTON,123,6,6,MANHATTAN,107,EAST 105TH STREET,107 EAST 105TH STREET,NEW YORK,NY,"10,029",1051990,1633,1,1016330001,172,MN1101,East Harlem (South),11,8,68,29,13,,40.792166,-73.947865,POINT (-73.947865 40.792166)
COLLEGE AVENUE-EAST 165TH STREET,236,1,2,BRONX,1020,COLLEGE AVENUE,1020 COLLEGE AVENUE,BRONX,NY,"10,456",2002209,2433,1,2024330001,175,BX0401,Concourse-Concourse Village,4,16,77,32,15,,40.82914,-73.91538,POINT (-73.91538 40.82914)
CONEY ISLAND,94,1,1,BROOKLYN,3025,WEST 32ND STREET,3025 WEST 32ND STREET,BROOKLYN,NY,"11,224",3322043,7067,1,3070670001,340,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.57201,-73.997641,POINT (-73.997641 40.57201)
CONEY ISLAND,94,2,2,BROOKLYN,3030,SURF AVENUE,3030 SURF AVENUE,BROOKLYN,NY,"11,224",3322044,7067,1,3070670001,340,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.572133,-73.996872,POINT (-73.996872 40.572133)
CONEY ISLAND,94,3,3,BROOKLYN,3020,SURF AVENUE,3020 SURF AVENUE,BROOKLYN,NY,"11,224",3322042,7067,1,3070670001,340,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.572267,-73.996458,POINT (-73.996458 40.572267)
CONEY ISLAND,94,4,4,BROOKLYN,3002,SURF AVENUE,3002 SURF AVENUE,BROOKLYN,NY,"11,224",3322045,7067,1,3070670001,340,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.572151,-73.9958,POINT (-73.9958 40.572151)
CONEY ISLAND,94,5,5,BROOKLYN,3028,WEST 29TH STREET,3028 WEST 29TH STREET,BROOKLYN,NY,"11,224",3322046,7067,1,3070670001,340,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.572097,-73.995019,POINT (-73.995019 40.572097)
CONEY ISLAND I (SITE 1B),239,1,4,BROOKLYN,2007,SURF AVENUE,2007 SURF AVENUE,BROOKLYN,NY,"11,224",3189556,7059,26,3070590026,326,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.575048,-73.987067,POINT (-73.987067 40.575048)
CONEY ISLAND I (SITE 8),238,1,10,BROOKLYN,2950,WEST 35TH STREET,2950 WEST 35TH STREET,BROOKLYN,NY,"11,224",3189511,7046,22,3070460022,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.573631,-74.000656,POINT (-74.000656 40.573631)
CONEY ISLAND I (SITE 8),238,1,11,BROOKLYN,2950,WEST 35TH STREET,2950 WEST 35TH STREET,BROOKLYN,NY,"11,224",3189511,7046,22,3070460022,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.573631,-74.000656,POINT (-74.000656 40.573631)
CONEY ISLAND I (SITES 4 & 5),216,1,6,BROOKLYN,2947,WEST 28TH STREET,2947 WEST 28TH STREET,BROOKLYN,NY,"11,224",3385303,7053,14,3070530014,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.574534,-73.993321,POINT (-73.993321 40.574534)
CONEY ISLAND I (SITES 4 & 5),216,1,7,BROOKLYN,2949,WEST 28TH STREET,2949 WEST 28TH STREET,BROOKLYN,NY,"11,224",3385303,7053,14,3070530014,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.574529,-73.993321,POINT (-73.993321 40.574529)
CONEY ISLAND I (SITES 4 & 5),216,1,8,BROOKLYN,2925,WEST 27TH STREET,2925 WEST 27TH STREET,BROOKLYN,NY,"11,224",3385303,7053,14,3070530014,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.575106,-73.993467,POINT (-73.993467 40.575106)
CONEY ISLAND I (SITES 4 & 5),216,1,9,BROOKLYN,2926,WEST 25TH STREET,2926 WEST 25TH STREET,BROOKLYN,NY,"11,224",3385303,7053,14,3070530014,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.575122,-73.992262,POINT (-73.992262 40.575122)
CONEY ISLAND I (SITES 4 & 5),216,1,10,BROOKLYN,2926,WEST 25TH STREET,2926 WEST 25TH STREET,BROOKLYN,NY,"11,224",3385303,7053,14,3070530014,342,BK1302,Coney Island-Sea Gate,13,47,46,23,8,,40.575122,-73.992262,POINT (-73.992262 40.575122)
CONLON LIHFE TOWER,232,1,6,QUEENS,92-33,170TH STREET,92-33 170TH STREET,JAMAICA,NY,"11,433",4457492,10212,33,4102120033,444,QN1201,Jamaica,12,27,29,11,5,,40.706093,-73.788942,POINT (-73.788942 40.706093)
COOPER PARK,69,1,1,BROOKLYN,275,JACKSON STREET,275 JACKSON STREET,BROOKLYN,NY,"11,211",3332782,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.71772,-73.93938,POINT (-73.93938 40.71772)
COOPER PARK,69,2,2,BROOKLYN,60,KINGSLAND AVENUE,60 KINGSLAND AVENUE,BROOKLYN,NY,"11,211",3339336,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.717862,-73.939943,POINT (-73.939943 40.717862)
COOPER PARK,69,3,3,BROOKLYN,280,FROST STREET,280 FROST STREET,BROOKLYN,NY,"11,222",3332781,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.71844,-73.940031,POINT (-73.940031 40.71844)
COOPER PARK,69,4,4,BROOKLYN,290,FROST STREET,290 FROST STREET,BROOKLYN,NY,"11,222",3327829,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718526,-73.939684,POINT (-73.939684 40.718526)
COOPER PARK,69,5,5,BROOKLYN,330,FROST STREET,330 FROST STREET,BROOKLYN,NY,"11,222",3327830,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718876,-73.938328,POINT (-73.938328 40.718876)
COOPER PARK,69,6,6,BROOKLYN,340,FROST STREET,340 FROST STREET,BROOKLYN,NY,"11,222",3327831,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718955,-73.93797,POINT (-73.93797 40.718955)
COOPER PARK,69,7,7,BROOKLYN,417,MORGAN AVENUE,417 MORGAN AVENUE,BROOKLYN,NY,"11,211",3327833,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718437,-73.937534,POINT (-73.937534 40.718437)
COOPER PARK,69,8,8,BROOKLYN,401,MORGAN AVENUE,401 MORGAN AVENUE,BROOKLYN,NY,"11,211",3332784,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.717891,-73.937298,POINT (-73.937298 40.717891)
COOPER PARK,69,8,9,BROOKLYN,389,MORGAN AVENUE,389 MORGAN AVENUE,BROOKLYN,NY,"11,211",3332784,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.717516,-73.937301,POINT (-73.937301 40.717516)
COOPER PARK,69,9,10,BROOKLYN,20,DEBEVOISE AVENUE,20 DEBEVOISE AVENUE,BROOKLYN,NY,"11,211",3327827,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.717406,-73.937695,POINT (-73.937695 40.717406)
COOPER PARK,69,9,11,BROOKLYN,30,DEBEVOISE AVENUE,30 DEBEVOISE AVENUE,BROOKLYN,NY,"11,211",3327827,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.717725,-73.938016,POINT (-73.938016 40.717725)
COOPER PARK,69,10,12,BROOKLYN,50,DEBEVOISE AVENUE,50 DEBEVOISE AVENUE,BROOKLYN,NY,"11,211",3339339,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718292,-73.938276,POINT (-73.938276 40.718292)
COOPER PARK,69,11,13,BROOKLYN,295,JACKSON STREET,295 JACKSON STREET,BROOKLYN,NY,"11,211",3327832,2867,1,3028670001,"44,901",BK0104,East Williamsburg,1,34,53,18,7,,40.718062,-73.939076,POINT (-73.939076 40.718062)
CYPRESS HILLS,70,1,1,BROOKLYN,1260,SUTTER AVENUE,1260 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337020,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672148,-73.871591,POINT (-73.871591 40.672148)
CYPRESS HILLS,70,1,2,BROOKLYN,1266,SUTTER AVENUE,1266 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337020,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672446,-73.871589,POINT (-73.871589 40.672446)
CYPRESS HILLS,70,2,3,BROOKLYN,1230,SUTTER AVENUE,1230 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337028,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672371,-73.872357,POINT (-73.872357 40.672371)
CYPRESS HILLS,70,2,4,BROOKLYN,1220,SUTTER AVENUE,1220 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337028,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672367,-73.872743,POINT (-73.872743 40.672367)
CYPRESS HILLS,70,3,5,BROOKLYN,315,FOUNTAIN AVENUE,315 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337021,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672179,-73.873666,POINT (-73.873666 40.672179)
CYPRESS HILLS,70,3,6,BROOKLYN,305,FOUNTAIN AVENUE,305 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337021,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.672182,-73.874048,POINT (-73.874048 40.672182)
CYPRESS HILLS,70,4,7,BROOKLYN,1250,SUTTER AVENUE,1250 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337030,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.671561,-73.871649,POINT (-73.871649 40.671561)
CYPRESS HILLS,70,4,8,BROOKLYN,1240,SUTTER AVENUE,1240 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337030,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.67156,-73.872024,POINT (-73.872024 40.67156)
CYPRESS HILLS,70,5,9,BROOKLYN,1200,SUTTER AVENUE,1200 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337026,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.671432,-73.873066,POINT (-73.873066 40.671432)
CYPRESS HILLS,70,5,10,BROOKLYN,1210,SUTTER AVENUE,1210 SUTTER AVENUE,BROOKLYN,NY,"11,208",3337026,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.671723,-73.873062,POINT (-73.873062 40.671723)
CYPRESS HILLS,70,6,11,BROOKLYN,345,FOUNTAIN AVENUE,345 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337023,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.671282,-73.873952,POINT (-73.873952 40.671282)
CYPRESS HILLS,70,6,12,BROOKLYN,335,FOUNTAIN AVENUE,335 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337023,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.671669,-73.874133,POINT (-73.874133 40.671669)
CYPRESS HILLS,70,7,13,BROOKLYN,375,FOUNTAIN AVENUE,375 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337025,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.670229,-73.873608,POINT (-73.873608 40.670229)
CYPRESS HILLS,70,7,14,BROOKLYN,365,FOUNTAIN AVENUE,365 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337025,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.67051,-73.873614,POINT (-73.873614 40.67051)
CYPRESS HILLS,70,8,15,BROOKLYN,395,FOUNTAIN AVENUE,395 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337037,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669984,-73.872917,POINT (-73.872917 40.669984)
CYPRESS HILLS,70,8,16,BROOKLYN,385,FOUNTAIN AVENUE,385 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337037,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.670275,-73.872917,POINT (-73.872917 40.670275)
CYPRESS HILLS,70,9,17,BROOKLYN,455,FOUNTAIN AVENUE,455 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337039,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.668812,-73.872879,POINT (-73.872879 40.668812)
CYPRESS HILLS,70,9,18,BROOKLYN,445,FOUNTAIN AVENUE,445 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337039,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669168,-73.872883,POINT (-73.872883 40.669168)
CYPRESS HILLS,70,10,19,BROOKLYN,495,FOUNTAIN AVENUE,495 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337041,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.66805,-73.872329,POINT (-73.872329 40.66805)
CYPRESS HILLS,70,10,20,BROOKLYN,485,FOUNTAIN AVENUE,485 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337041,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.668327,-73.872335,POINT (-73.872335 40.668327)
CYPRESS HILLS,70,11,21,BROOKLYN,710,EUCLID AVENUE,710 EUCLID AVENUE,BROOKLYN,NY,"11,208",3337053,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669353,-73.871753,POINT (-73.871753 40.669353)
CYPRESS HILLS,70,11,22,BROOKLYN,700,EUCLID AVENUE,700 EUCLID AVENUE,BROOKLYN,NY,"11,208",3337053,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669352,-73.872125,POINT (-73.872125 40.669352)
CYPRESS HILLS,70,12,23,BROOKLYN,740,EUCLID AVENUE,740 EUCLID AVENUE,BROOKLYN,NY,"11,208",3337055,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669038,-73.870979,POINT (-73.870979 40.669038)
CYPRESS HILLS,70,12,24,BROOKLYN,730,EUCLID AVENUE,730 EUCLID AVENUE,BROOKLYN,NY,"11,208",3337055,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.669329,-73.87098,POINT (-73.87098 40.669329)
CYPRESS HILLS,70,13,25,BROOKLYN,2545,LINDEN BOULEVARD,2545 LINDEN BOULEVARD,BROOKLYN,NY,"11,208",3337048,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.668212,-73.870618,POINT (-73.870618 40.668212)
CYPRESS HILLS,70,13,26,BROOKLYN,2555,LINDEN BOULEVARD,2555 LINDEN BOULEVARD,BROOKLYN,NY,"11,208",3337048,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.668516,-73.870611,POINT (-73.870611 40.668516)
CYPRESS HILLS,70,14,27,BROOKLYN,2525,LINDEN BOULEVARD,2525 LINDEN BOULEVARD,BROOKLYN,NY,"11,208",3337046,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.667766,-73.871135,POINT (-73.871135 40.667766)
CYPRESS HILLS,70,14,28,BROOKLYN,2535,LINDEN BOULEVARD,2535 LINDEN BOULEVARD,BROOKLYN,NY,"11,208",3337046,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.66805,-73.871144,POINT (-73.871144 40.66805)
CYPRESS HILLS,70,15,29,BROOKLYN,525,FOUNTAIN AVENUE,525 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337044,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.667288,-73.871902,POINT (-73.871902 40.667288)
CYPRESS HILLS,70,15,30,BROOKLYN,515,FOUNTAIN AVENUE,515 FOUNTAIN AVENUE,BROOKLYN,NY,"11,208",3337044,4292,61,3042920061,"1,210",BK0505,East New York-City Line,5,42,60,19,8,,40.667581,-73.871908,POINT (-73.871908 40.667581)
DE HOSTOS APARTMENTS,155,1,43,MANHATTAN,201,WEST 93RD STREET,201 WEST 93RD STREET,NEW YORK,NY,"10,025",1033648,1241,25,1012410025,179,MN0702,Upper West Side (Central),7,7,69,47,12,,40.792446,-73.972112,POINT (-73.972112 40.792446)
DOUGLASS ADDITION,148,18,18,MANHATTAN,868,AMSTERDAM AVENUE,868 AMSTERDAM AVENUE,NEW YORK,NY,"10,025",1079429,1874,29,1018740029,191,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,12,,40.79827,-73.967523,POINT (-73.967523 40.79827)
DOUGLASS I,82,4,4,MANHATTAN,825,COLUMBUS AVENUE,825 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1081298,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.795539,-73.96494,POINT (-73.96494 40.795539)
DOUGLASS I,82,5,5,MANHATTAN,55,WEST 100TH STREET,55 WEST 100TH STREET,NEW YORK,NY,"10,025",1081297,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.795331,-73.964379,POINT (-73.964379 40.795331)
DOUGLASS I,82,6,6,MANHATTAN,845,COLUMBUS AVENUE,845 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1081299,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796061,-73.964396,POINT (-73.964396 40.796061)
DOUGLASS I,82,7,7,MANHATTAN,865,COLUMBUS AVENUE,865 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1081300,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796776,-73.963882,POINT (-73.963882 40.796776)
DOUGLASS I,82,8,8,MANHATTAN,60,WEST 104TH STREET,60 WEST 104TH STREET,NEW YORK,NY,"10,025",1083820,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.797109,-73.963078,POINT (-73.963078 40.797109)
DOUGLASS I,82,9,9,MANHATTAN,875,COLUMBUS AVENUE,875 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1081301,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.797163,-73.96377,POINT (-73.96377 40.797163)
DOUGLASS I,82,10,10,MANHATTAN,850,COLUMBUS AVENUE,850 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079365,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.797187,-73.964884,POINT (-73.964884 40.797187)
DOUGLASS I,82,11,11,MANHATTAN,870,COLUMBUS AVENUE,870 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079388,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.79765,-73.96493,POINT (-73.96493 40.79765)
DOUGLASS I,82,12,12,MANHATTAN,860,COLUMBUS AVENUE,860 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079375,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.797502,-73.96559,POINT (-73.96559 40.797502)
DOUGLASS I,82,16,16,MANHATTAN,51,MANHATTAN AVENUE,51 MANHATTAN AVENUE,NEW YORK,NY,"10,025",1081303,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.79635,-73.963302,POINT (-73.963302 40.79635)
DOUGLASS I,82,17,17,MANHATTAN,74,WEST 103RD STREET,74 WEST 103RD STREET,NEW YORK,NY,"10,025",1081302,1836,1,1018360001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796753,-73.963161,POINT (-73.963161 40.796753)
DOUGLASS II,582,1,1,MANHATTAN,840,COLUMBUS AVENUE,840 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079356,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796802,-73.966092,POINT (-73.966092 40.796802)
DOUGLASS II,582,2,2,MANHATTAN,826,COLUMBUS AVENUE,826 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079347,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796133,-73.965974,POINT (-73.965974 40.796133)
DOUGLASS II,582,3,3,MANHATTAN,830,COLUMBUS AVENUE,830 COLUMBUS AVENUE,NEW YORK,NY,"10,025",1079350,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.796489,-73.965394,POINT (-73.965394 40.796489)
DOUGLASS II,582,13,13,MANHATTAN,140,WEST 104TH STREET,140 WEST 104TH STREET,NEW YORK,NY,"10,025",1079419,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.798193,-73.965516,POINT (-73.965516 40.798193)
DOUGLASS II,582,14,14,MANHATTAN,865,AMSTERDAM AVENUE,865 AMSTERDAM AVENUE,NEW YORK,NY,"10,025",1079408,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.797855,-73.966472,POINT (-73.966472 40.797855)
DOUGLASS II,582,15,15,MANHATTAN,875,AMSTERDAM AVENUE,875 AMSTERDAM AVENUE,NEW YORK,NY,"10,025",1079336,1855,1,1018550001,189,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,13,,40.798106,-73.966886,POINT (-73.966886 40.798106)
DREW-HAMILTON,111,1,1,MANHATTAN,2660,FREDERICK DOUGLASS BOULEVARD,2660 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,"10,030",1086080,2027,1,1020270001,230,MN1002,Harlem (North),10,9,70,30,13,,40.820527,-73.943313,POINT (-73.943313 40.820527)
DREW-HAMILTON,111,2,2,MANHATTAN,2680,FREDERICK DOUGLASS BOULEVARD,2680 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,"10,030",1086081,2028,1,1020280001,232,MN1002,Harlem (North),10,9,70,30,13,,40.821184,-73.94285,POINT (-73.94285 40.821184)
DREW-HAMILTON,111,3,3,MANHATTAN,2698,FREDERICK DOUGLASS BOULEVARD,2698 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,"10,030",1060431,2029,1,1020290001,232,MN1002,Harlem (North),10,9,70,30,13,,40.821755,-73.94239,POINT (-73.94239 40.821755)
DREW-HAMILTON,111,4,4,MANHATTAN,2430,A C POWELL BOULEVARD,2430 A C POWELL BOULEVARD,NEW YORK,NY,"10,030",1086083,2027,25,1020270025,230,MN1002,Harlem (North),10,9,70,30,13,,40.819551,-73.940964,POINT (-73.940964 40.819551)
DREW-HAMILTON,111,5,5,MANHATTAN,200,WEST 143RD STREET,200 WEST 143RD STREET,NEW YORK,NY,"10,030",1060430,2028,16,1020280016,232,MN1002,Harlem (North),10,9,70,30,13,,40.820504,-73.940597,POINT (-73.940597 40.820504)
DYCKMAN,41,1,1,MANHATTAN,177,NAGLE AVENUE,177 NAGLE AVENUE,NEW YORK,NY,"10,034",1080027,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.861146,-73.923973,POINT (-73.923973 40.861146)
DYCKMAN,41,2,2,MANHATTAN,3716,10TH AVENUE,3716 10TH AVENUE,NEW YORK,NY,"10,034",1080028,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.859691,-73.92303,POINT (-73.92303 40.859691)
DYCKMAN,41,3,3,MANHATTAN,195,NAGLE AVENUE,195 NAGLE AVENUE,NEW YORK,NY,"10,034",1080029,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.861442,-73.923201,POINT (-73.923201 40.861442)
DYCKMAN,41,4,4,MANHATTAN,3736,10TH AVENUE,3736 10TH AVENUE,NEW YORK,NY,"10,034",1080030,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.860363,-73.922474,POINT (-73.922474 40.860363)
DYCKMAN,41,5,5,MANHATTAN,213,NAGLE AVENUE,213 NAGLE AVENUE,NEW YORK,NY,"10,034",1080031,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.861788,-73.922512,POINT (-73.922512 40.861788)
DYCKMAN,41,6,6,MANHATTAN,3758,10TH AVENUE,3758 10TH AVENUE,NEW YORK,NY,"10,034",1080032,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.861027,-73.921923,POINT (-73.921923 40.861027)
DYCKMAN,41,7,7,MANHATTAN,3784,10TH AVENUE,3784 10TH AVENUE,NEW YORK,NY,"10,034",1080033,2216,1,1022160001,299,MN1203,Inwood,12,10,72,31,13,,40.861797,-73.921676,POINT (-73.921676 40.861797)
EAST 152ND STREET-COURTLANDT AVENUE,237,1,10,BRONX,372,EAST 152ND STREET,372 EAST 152ND STREET,BRONX,NY,"10,455",2090413,2398,14,2023980014,67,BX0102,Melrose,1,17,84,29,15,,40.818373,-73.917756,POINT (-73.917756 40.818373)
EAST 152ND STREET-COURTLANDT AVENUE,237,2,11,BRONX,370,EAST 153RD STREET,370 EAST 153RD STREET,BRONX,NY,"10,455",2088143,2399,10,2023990010,67,BX0102,Melrose,1,17,84,29,15,,40.819029,-73.917472,POINT (-73.917472 40.819029)
EAST 165TH STREET-BRYANT AVENUE,304,1,41,BRONX,1084,BRYANT AVENUE,1084 BRYANT AVENUE,BRONX,NY,"10,459",2006274,2757,1,2027570001,"12,102",BX0202,Longwood,2,17,85,32,14,YES,40.825709,-73.888643,POINT (-73.888643 40.825709)
EAST 165TH STREET-BRYANT AVENUE,304,1,42,BRONX,1080,BRYANT AVENUE,1080 BRYANT AVENUE,BRONX,NY,"10,459",2006274,2757,1,2027570001,"12,102",BX0202,Longwood,2,17,85,32,14,YES,40.825606,-73.888627,POINT (-73.888627 40.825606)
