development,tds_#,building_#,stairhall#,borough_nycha,house_#,street,address_nycha,city,state,zip_code,bin,block,lot,BBL,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude_nycha,longitude_nycha,geometry,borough_pluto,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude_pluto,longitude_pluto,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt,consumption_(kwh),current_charges,borough,consumption_per_unit
ADAMS,118,5,5,BRONX,710,TINTON AVENUE,710 TINTON AVENUE,BRONX,NY,"10,455",2091988,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.816648,-73.904482,POINT (-73.904482 40.816648),BX,2665.0,1.0,79.0,5000.0,8.0,10455.0,40.0,4100.0,680 TINTON AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"164,671","409,000","409,000",0,0,0,2.0,4.0,21.0,429.0,429,687.0,175,137.5,67.0,0.0,True,3.0,1480500.0,9075600.0,1964.0,0,0,,,2.48,2.43,2.0,2026650001.0,79.0,1010659.0,236786.0,40.8165591,-73.9045904,6c,,,,1.0,,,2007900.0,20079005000.0,1964-01-01,,,97995861.0,13845437.96,BRONX,228428.58041958042
ADAMS,118,6,6,BRONX,680,TINTON AVENUE,680 TINTON AVENUE,BRONX,NY,"10,455",2091987,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.816104,-73.904616,POINT (-73.904616 40.816104),BX,2665.0,1.0,79.0,5000.0,8.0,10455.0,40.0,4100.0,680 TINTON AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"164,671","409,000","409,000",0,0,0,2.0,4.0,21.0,429.0,429,687.0,175,137.5,67.0,0.0,True,3.0,1480500.0,9075600.0,1964.0,0,0,,,2.48,2.43,2.0,2026650001.0,79.0,1010659.0,236786.0,40.8165591,-73.9045904,6c,,,,1.0,,,2007900.0,20079005000.0,1964-01-01,,,97995861.0,13845437.96,BRONX,228428.58041958042
ADAMS,118,7,7,BRONX,815,EAST 152ND STREET,815 EAST 152ND STREET,BRONX,NY,"10,455",2091989,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.815565,-73.904754,POINT (-73.904754 40.815565),BX,2665.0,1.0,79.0,5000.0,8.0,10455.0,40.0,4100.0,680 TINTON AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"164,671","409,000","409,000",0,0,0,2.0,4.0,21.0,429.0,429,687.0,175,137.5,67.0,0.0,True,3.0,1480500.0,9075600.0,1964.0,0,0,,,2.48,2.43,2.0,2026650001.0,79.0,1010659.0,236786.0,40.8165591,-73.9045904,6c,,,,1.0,,,2007900.0,20079005000.0,1964-01-01,,,97995861.0,13845437.96,BRONX,228428.58041958042
ALBANY,31,1,1,BROOKLYN,180,TROY AVENUE,180 TROY AVENUE,BROOKLYN,NY,"11,213",3324615,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673285,-73.936607,POINT (-73.936607 40.673285),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY,31,2,2,BROOKLYN,1191,PARK PLACE,1191 PARK PLACE,BROOKLYN,NY,"11,213",3324614,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.672915,-73.937683,POINT (-73.937683 40.672915),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY,31,3,3,BROOKLYN,205,ALBANY AVENUE,205 ALBANY AVENUE,BROOKLYN,NY,"11,213",3324613,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.67339,-73.938688,POINT (-73.938688 40.67339),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY,31,4,4,BROOKLYN,193,ALBANY AVENUE,193 ALBANY AVENUE,BROOKLYN,NY,"11,213",3324612,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673982,-73.938632,POINT (-73.938632 40.673982),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY,31,5,5,BROOKLYN,1008,SAINT MARKS AVENUE,1008 SAINT MARKS AVENUE,BROOKLYN,NY,"11,213",3324616,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.674347,-73.93755,POINT (-73.93755 40.674347),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY,31,6,6,BROOKLYN,162,TROY AVENUE,162 TROY AVENUE,BROOKLYN,NY,"11,213",3324617,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673868,-73.936546,POINT (-73.936546 40.673868),BK,1352.0,80.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,193 ALBANY AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"388,369","821,016","821,016",0,0,0,2.0,6.0,14.0,829.0,829,571,680,30.0,120.0,0.0,False,5.0,1572750.0,38636550.0,1950.0,0,0,,,2.11,2.43,3.0,3013520080.0,343.0,1001552.0,184710.0,40.6736461,-73.9376258,17a,,,,1.0,,,3034300.0,30343003000.0,1950-01-01,,,69700240.0,9037950.04,BROOKLYN,84077.49095295537
ALBANY II,85,7,7,BROOKLYN,1400,BERGEN STREET,1400 BERGEN STREET,BROOKLYN,NY,"11,213",3324611,1352,1,3013520001,343,BK0802,Crown Heights (North),8,36,56,20,9,,40.675096,-73.938151,POINT (-73.938151 40.675096),BK,1352.0,1.0,343.0,1000.0,36.0,11213.0,77.0,4900.0,1400 BERGEN STREET,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"214,676","346,280","346,280",0,0,0,2.0,3.0,14.0,400.0,400,315.58,680,305.0,120.0,0.0,True,3.0,603900.0,15255000.0,1950.0,0,0,,,1.61,2.43,3.0,3013520001.0,343.0,1001585.0,185152.0,40.6748592,-73.9375057,17a,,,,1.0,,,3034300.0,30343004000.0,1950-01-01,,,26966236.0,2585148.92,BROOKLYN,67415.59
