development,tds_#,building_#,stairhall#,borough_nycha,house_#,street,address_nycha,city,state,zip_code,bin,block,lot,BBL,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude_nycha,longitude_nycha,geometry,borough_pluto,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude_pluto,longitude_pluto,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt,consumption_(kwh),current_charges,borough,consumption_per_unit
BREUKELEN,56,18,59,BROOKLYN,974,WILLIAMS AVENUE,974 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331300,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651263,-73.893442,POINT (-73.893442 40.651263),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,18,60,BROOKLYN,972,WILLIAMS AVENUE,972 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331300,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651495,-73.893449,POINT (-73.893449 40.651495),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,18,61,BROOKLYN,970,WILLIAMS AVENUE,970 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331300,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651692,-73.893491,POINT (-73.893491 40.651692),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,18,62,BROOKLYN,968,WILLIAMS AVENUE,968 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331300,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651739,-73.893818,POINT (-73.893818 40.651739),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,19,63,BROOKLYN,621,EAST 105TH STREET,621 EAST 105TH STREET,BROOKLYN,NY,"11,236",3321415,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.650207,-73.897309,POINT (-73.897309 40.650207),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,19,64,BROOKLYN,105-12,FARRAGUT ROAD,105-12 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321415,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.650513,-73.897445,POINT (-73.897445 40.650513),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,20,65,BROOKLYN,106-02,FARRAGUT ROAD,106-02 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321407,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.650652,-73.896657,POINT (-73.896657 40.650652),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,20,66,BROOKLYN,106-12,FARRAGUT ROAD,106-12 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321407,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.650704,-73.897106,POINT (-73.897106 40.650704),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,21,67,BROOKLYN,106-22,FARRAGUT ROAD,106-22 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321408,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.65088,-73.89625,POINT (-73.89625 40.65088),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,21,68,BROOKLYN,107-02,FARRAGUT ROAD,107-02 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321408,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.651205,-73.896382,POINT (-73.896382 40.651205),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,22,69,BROOKLYN,107-12,FARRAGUT ROAD,107-12 FARRAGUT ROAD,BROOKLYN,NY,"11,236",3321409,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.651387,-73.896047,POINT (-73.896047 40.651387),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,22,70,BROOKLYN,620,EAST 108TH STREET,620 EAST 108TH STREET,BROOKLYN,NY,"11,236",3321409,8174,1,3081740001,982,BK1803,Canarsie,18,42,60,19,8,,40.651327,-73.895602,POINT (-73.895602 40.651327),BK,8174.0,1.0,982.0,1000.0,42.0,11236.0,69.0,7520.0,620 EAST 108 STREET,R5,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"450,000","344,456","344,456",0,0,0,2.0,8.0,5.0,424.0,424,720,625,720.0,625.0,0.0,True,1.0,2025000.0,11684250.0,1951.0,"2,020",0,,,0.77,1.5,3.0,3081740001.0,982.0,1013080.0,176270.0,40.6504501,-73.8961032,17d,,,,1.0,,,3098200.0,30982001000.0,1951-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,368930.33490566036
BREUKELEN,56,23,71,BROOKLYN,619,EAST 108TH STREET,619 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331298,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651622,-73.895115,POINT (-73.895115 40.651622),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,23,72,BROOKLYN,617,EAST 108TH STREET,617 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331298,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.651944,-73.895243,POINT (-73.895243 40.651944),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,24,73,BROOKLYN,932,WILLIAMS AVENUE,932 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331302,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652036,-73.89436,POINT (-73.89436 40.652036),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,24,74,BROOKLYN,930,WILLIAMS AVENUE,930 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331302,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652244,-73.894364,POINT (-73.894364 40.652244),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,24,75,BROOKLYN,928,WILLIAMS AVENUE,928 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331302,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652433,-73.89441,POINT (-73.89441 40.652433),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,24,76,BROOKLYN,926,WILLIAMS AVENUE,926 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331302,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652451,-73.894152,POINT (-73.894152 40.652451),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,25,77,BROOKLYN,569,EAST 108TH STREET,569 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331297,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652216,-73.895745,POINT (-73.895745 40.652216),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,25,78,BROOKLYN,567,EAST 108TH STREET,567 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331297,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652546,-73.895676,POINT (-73.895676 40.652546),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,26,79,BROOKLYN,908,WILLIAMS AVENUE,908 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331301,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652807,-73.89493,POINT (-73.89493 40.652807),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,26,80,BROOKLYN,906,WILLIAMS AVENUE,906 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331301,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.65302,-73.894936,POINT (-73.894936 40.65302),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,26,81,BROOKLYN,904,WILLIAMS AVENUE,904 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331301,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653201,-73.894979,POINT (-73.894979 40.653201),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,26,82,BROOKLYN,902,WILLIAMS AVENUE,902 WILLIAMS AVENUE,BROOKLYN,NY,"11,207",3331301,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.65322,-73.894706,POINT (-73.894706 40.65322),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,27,83,BROOKLYN,553,EAST 108TH STREET,553 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331294,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652646,-73.896224,POINT (-73.896224 40.652646),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,27,84,BROOKLYN,543,EAST 108TH STREET,543 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331294,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.652979,-73.896155,POINT (-73.896155 40.652979),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,28,85,BROOKLYN,523,EAST 108TH STREET,523 EAST 108TH STREET,BROOKLYN,NY,"11,236",3331291,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653093,-73.896877,POINT (-73.896877 40.653093),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,28,86,BROOKLYN,254,STANLEY AVENUE,254 STANLEY AVENUE,BROOKLYN,NY,"11,207",3331291,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653422,-73.897014,POINT (-73.897014 40.653422),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,29,87,BROOKLYN,276,STANLEY AVENUE,276 STANLEY AVENUE,BROOKLYN,NY,"11,207",3331295,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653475,-73.895862,POINT (-73.895862 40.653475),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,29,88,BROOKLYN,274,STANLEY AVENUE,274 STANLEY AVENUE,BROOKLYN,NY,"11,207",3331295,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653475,-73.896133,POINT (-73.896133 40.653475),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
BREUKELEN,56,29,89,BROOKLYN,272,STANLEY AVENUE,272 STANLEY AVENUE,BROOKLYN,NY,"11,207",3331295,8158,1,3081580001,982,BK1803,Canarsie,18,42,60,19,8,,40.653443,-73.896377,POINT (-73.896377 40.653443),BK,8158.0,1.0,982.0,2002.0,42.0,11236.0,69.0,7520.0,254 STANLEY AVENUE,R5,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"734,096","386,400","386,400",0,0,0,2.0,10.0,6.0,515.0,515,"1,374",679.58,0.0,0.0,0.0,True,1.0,4398750.0,14672700.0,1950.0,"2,020",0,,,0.53,1.5,3.0,3081580001.0,982.0,1013363.0,177019.0,40.652505,-73.8950801,17d,,,,1.0,,,3098200.0,30982002002.0,1950-01-01,2020-01-01,,156426462.0,21826399.32,BROOKLYN,303740.7029126214
